feature,importance
Contract,0.2026583521027499
is_month_to_month,0.19572984852493008
tenure,0.1435456771193044
MonthlyCharges,0.1293350987903682
OnlineSecurity,0.07553387901294059
TotalCharges,0.06992412133709981
TechSupport,0.04543250500025845
charges_per_service,0.04065456797868199
PaymentMethod,0.02266603558780642
PaperlessBilling,0.02015489994903362
InternetService,0.016213093775707607
MultipleLines,0.009710079855696642
OnlineBackup,0.008115439443296558
SeniorCitizen,0.0060768396547803685
StreamingMovies,0.005470849935162909
gender,0.0025132712258089385
Dependents,0.00204064119218643
StreamingTV,0.0017570676934605426
service_count,0.001058140578637251
lifecycle_stage,0.0004987273100828718
PhoneService,0.0004005305730283713
DeviceProtection,0.000315369292424917
Partner,0.00017823309238976232
tenure_segment,1.6730974163225063e-05
